As of,Rank,Year to Date Rank,Last Week Rank,Title,Type,Netflix Exclusive,Netflix Release Date,Days In Top 10,Viewership Score,tconst,imdb_title,genres,averageRating,numVotes
2020-04-01,1,1,1,"Tiger King: Murder, Mayhem …",TV Show,Yes,"Mar 20, 2020",9,90,,,,,
2020-04-01,2,2,-,Ozark,TV Show,Yes,"Jul 21, 2017",5,45,tt5071412,Ozark,"Crime,Drama,Thriller",8.4,382255
2020-04-01,3,3,2,All American,TV Show,,"Mar 28, 2019",9,76,tt7414406,All American,"Drama,Sport",7.6,16118
2020-04-01,4,4,-,Blood Father,Movie,,"Mar 26, 2020",5,30,tt3647498,Blood Father,"Action,Crime,Drama",6.4,70279
2020-04-01,5,5,4,The Platform,Movie,Yes,"Mar 20, 2020",9,55,tt8228288,The Platform,"Horror,Mystery,Sci-Fi",7.0,316807
2020-04-01,6,6,-,Car Masters: Rust to Riches,TV Show,Yes,"Sep 14, 2018",4,14,tt8893550,Car Masters: Rust to Riches,Reality-TV,8.3,12035
2020-04-01,7,10,-,Unorthodox,TV Show,Yes,"Mar 26, 2020",2,5,tt9815454,Unorthodox,Drama,8.0,97895
2020-04-01,8,7,5,Love is Blind,TV Show,Yes,"Feb 13, 2020",9,40,tt11704040,Love Is Blind,"Reality-TV,Romance",6.2,13125
2020-04-01,9,8,-,Badland,Movie,,"Mar 26, 2020",4,11,tt10253466,Badland,"Drama,Western",5.6,3371
2020-04-01,10,9,-,Uncorked,Movie,Yes,"Mar 27, 2020",4,15,tt9261218,Uncorked,Drama,6.4,7360
2020-04-02,1,1,1,"Tiger King: Murder, Mayhem …",TV Show,Yes,"Mar 20, 2020",10,100,,,,,
2020-04-02,2,2,-,Ozark,TV Show,Yes,"Jul 21, 2017",6,54,tt5071412,Ozark,"Crime,Drama,Thriller",8.4,382255
2020-04-02,3,3,2,All American,TV Show,,"Mar 28, 2019",10,84,tt7414406,All American,"Drama,Sport",7.6,16118
2020-04-02,4,-,-,Nailed It!,TV Show,Yes,"Mar 9, 2018",1,7,tt6987788,Nailed It!,"Game-Show,Reality-TV",7.4,5672
2020-04-02,5,-,-,How to Fix a Drug Scandal,TV Show,Yes,"Apr 1, 2020",1,6,tt11958942,How to Fix a Drug Scandal,"Crime,Documentary",7.0,4033
2020-04-02,6,4,-,Blood Father,Movie,,"Mar 26, 2020",6,35,tt3647498,Blood Father,"Action,Crime,Drama",6.4,70279
2020-04-02,7,-,-,The Roommate,Movie,,"Apr 1, 2020",1,4,tt1265990,The Roommate,"Drama,Horror,Thriller",4.8,43300
2020-04-02,8,7,-,Unorthodox,TV Show,Yes,"Mar 26, 2020",3,8,tt9815454,Unorthodox,Drama,8.0,97895
2020-04-02,9,5,4,The Platform,Movie,Yes,"Mar 20, 2020",10,57,tt8228288,The Platform,"Horror,Mystery,Sci-Fi",7.0,316807
2020-04-02,10,6,-,Car Masters: Rust to Riches,TV Show,Yes,"Sep 14, 2018",5,15,tt8893550,Car Masters: Rust to Riches,Reality-TV,8.3,12035
2020-04-03,1,1,1,"Tiger King: Murder, Mayhem …",TV Show,Yes,"Mar 20, 2020",11,110,,,,,
2020-04-03,2,2,-,Ozark,TV Show,Yes,"Jul 21, 2017",7,63,tt5071412,Ozark,"Crime,Drama,Thriller",8.4,382255
2020-04-03,3,3,2,All American,TV Show,,"Mar 28, 2019",11,92,tt7414406,All American,"Drama,Sport",7.6,16118
2020-04-03,4,5,-,How to Fix a Drug Scandal,TV Show,Yes,"Apr 1, 2020",2,13,tt11958942,How to Fix a Drug Scandal,"Crime,Documentary",7.0,4033
2020-04-03,5,4,-,Nailed It!,TV Show,Yes,"Mar 9, 2018",2,13,tt6987788,Nailed It!,"Game-Show,Reality-TV",7.4,5672
2020-04-03,6,7,-,The Roommate,Movie,,"Apr 1, 2020",2,9,tt1265990,The Roommate,"Drama,Horror,Thriller",4.8,43300
2020-04-03,7,8,-,Unorthodox,TV Show,Yes,"Mar 26, 2020",4,12,tt9815454,Unorthodox,Drama,8.0,97895
2020-04-03,8,-,-,The Players Club,Movie,,"Apr 1, 2020",1,3,tt0119905,The Players Club,"Comedy,Drama",5.8,8081
2020-04-03,9,-,-,Salt,Movie,,"Apr 1, 2020",1,2,tt0944835,Salt,"Action,Thriller",6.5,340505
2020-04-03,10,6,-,Blood Father,Movie,,"Mar 26, 2020",7,36,tt3647498,Blood Father,"Action,Crime,Drama",6.4,70279
2020-04-04,1,1,1,"Tiger King: Murder, Mayhem …",TV Show,Yes,"Mar 20, 2020",12,120,,,,,
2020-04-04,2,2,2,Ozark,TV Show,Yes,"Jul 21, 2017",8,72,tt5071412,Ozark,"Crime,Drama,Thriller",8.4,382255
2020-04-04,3,-,-,Money Heist,TV Show,Yes,"Dec 20, 2017",1,8,tt6468322,Money Heist,"Action,Crime,Drama",8.2,589289
2020-04-04,4,3,3,All American,TV Show,,"Mar 28, 2019",12,99,tt7414406,All American,"Drama,Sport",7.6,16118
2020-04-04,5,-,-,Coffee & Kareem,Movie,Yes,"Apr 3, 2020",1,6,tt9898858,Coffee & Kareem,"Action,Comedy,Crime",5.2,15170
